Scientific_name,Growth_form,Phenology,Leaf
Pinus banksiana,tree,evergreen,needle
Pinus resinosa,tree,evergreen,broad
Pinus rigida,tree,Data unavailable,needle
Pinus strobus,tree,deciduous,broad
Plectritis congesta,Data unavailable,Data unavailable,Data unavailable
Poa pratensis,grass,Data unavailable,broad
Polystichum munitum,Data unavailable,evergreen,Data unavailable
Populus balsamifera,tree,Data unavailable,Data unavailable
Populus deltoides,tree,Data unavailable,broad
Populus grandidentata,tree,deciduous,Data unavailable
Populus tremuloides,tree,deciduous,Data unavailable
Prunus nigra,tree,deciduous,broad
Prunus pensylvanica,Data unavailable,Data unavailable,Data unavailable
Prunus serotina,tree,deciduous,Data unavailable
Quercus alba,tree,Data unavailable,broad
Quercus bicolor,tree,Data unavailable,broad
Quercus garryana,tree,deciduous,broad
Quercus Linnaeus,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Quercus macrocarpa,tree,deciduous,broad
Quercus rubra,tree,deciduous,Data unavailable
Rhamnus cathartica,Data unavailable,deciduous,broad
Rhododendron groenlandicum,shrub,evergreen,broad
Rosa nutkana,shrub,Data unavailable,Data unavailable
Rubus idaeus,tree,Data unavailable,Data unavailable
Salix alba,tree,deciduous,Data unavailable
Salix interior,shrub,deciduous,broad
Sanicula crassicaulis,grass,Data unavailable,Data unavailable
Sericocarpus rigidus,grass,Data unavailable,Data unavailable
Solidago altissima,Data unavailable,Data unavailable,Data unavailable
Solidago gigantea,Data unavailable,Data unavailable,Data unavailable
Solidago Linnaeus,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Solidago rugosa,herbaceous,Data unavailable,Data unavailable
Sorbus americana,tree,deciduous,Data unavailable
Sorbus decora,Data unavailable,deciduous,Data unavailable
Spiraea alba,shrub,Data unavailable,Data unavailable
Symphoricarpos albus,shrub,deciduous,Data unavailable
Thuja occidentalis,tree,evergreen,broad
Tilia americana,tree,deciduous,broad
Tsuga canadensis,tree,evergreen,broad
Typha angustifolia,herbaceous,Data unavailable,broad
Typha latifolia,herbaceous,Data unavailable,broad
Typha Linnaeus,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Ulmus americana,tree,deciduous,broad
Ulmus rubra,tree,deciduous,broad
Vicia cracca,Data unavailable,Data unavailable,Data unavailable
Vicia sativa,grass,Data unavailable,needle
Vitis riparia,vine,Data unavailable,broad
Aesculus glabra,tree,Data unavailable,broad
Alnus alnobetula,tree,Data unavailable,broad
Amelanchier canadensis,tree,deciduous,broad
Amelanchier humilis,shrub,Data unavailable,Data unavailable
Anemonastrum canadense,herbaceous,Data unavailable,broad
Apocynum cannabinum,herbaceous,Data unavailable,broad
Aralia nudicaulis,Data unavailable,Data unavailable,Data unavailable
Aronia melanocarpa,shrub,Data unavailable,Data unavailable
Chelone glabra,herbaceous,Data unavailable,Data unavailable
Cornus alternifolia,tree,deciduous,broad
Cornus obliqua,shrub,Data unavailable,Data unavailable
Corylus cornuta,shrub,deciduous,broad
Elaeagnus angustifolia,shrub,Data unavailable,broad
Fallopia convolvulus,Data unavailable,Data unavailable,broad
Fragaria virginiana,Data unavailable,Data unavailable,Data unavailable
Ginkgo biloba,tree,deciduous,broad
Helianthus divaricatus,Data unavailable,Data unavailable,Data unavailable
Helianthus tuberosus,herbaceous,Data unavailable,broad
Ilex mucronata,shrub,deciduous,broad
Lonicera villosa,Data unavailable,Data unavailable,Data unavailable
Myrica gale,shrub,deciduous,broad
Onoclea sensibilis,herbaceous,deciduous,broad
Osmunda claytoniana,tree,Data unavailable,broad
Osmunda regalis,tree,deciduous,broad
Parthenocissus quinquefolia,vine,deciduous,needle
Physostegia virginiana,herbaceous,Data unavailable,Data unavailable
Platanus occidentalis,tree,Data unavailable,Data unavailable
Pontederia cordata,Data unavailable,Data unavailable,Data unavailable
Prunus virginiana,Data unavailable,Data unavailable,Data unavailable
Rosa blanda,shrub,Data unavailable,Data unavailable
Rubus allegheniensis,shrub,Data unavailable,Data unavailable
Rubus odoratus,shrub,Data unavailable,broad
Rudbeckia laciniata,herbaceous,Data unavailable,broad
Salix Linnaeus,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Salix sepulcralis,tree,Data unavailable,Data unavailable
Sambucus canadensis,shrub,deciduous,broad
Staphylea trifolia,shrub,Data unavailable,broad
Trifolium pratense,herbaceous,Data unavailable,broad
Tussilago farfara,herbaceous,Data unavailable,Data unavailable
Ulmus thomasii,tree,deciduous,broad
Urtica dioica,herbaceous,Data unavailable,needle
Verbascum thapsus,grass,Data unavailable,broad
Viburnum lantana,tree,deciduous,broad
Viburnum lantanoides,shrub,Data unavailable,Data unavailable
Viburnum lentago,tree,Data unavailable,broad
Viburnum opulus,shrub,deciduous,broad
Abutilon berlandieri,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Acacia saligna,tree,Data unavailable,Data unavailable
Acacia schottii,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Acer circinatum,vine,Data unavailable,broad
Acer floridanum,tree,deciduous,broad
Acer macrophyllum,tree,deciduous,Data unavailable
Aesculus californica,grass,deciduous,broad
Ailanthus altissima,tree,deciduous,broad
Albizia julibrissin,tree,deciduous,broad
Allionia incarnata,herbaceous,Data unavailable,Data unavailable
Alnus rubra,tree,deciduous,broad
Amaranthus arenicola,Data unavailable,Data unavailable,Data unavailable
Amaranthus californicus,Data unavailable,Data unavailable,Data unavailable
Ambrosia trifida,Data unavailable,Data unavailable,Data unavailable
Andropogon gerardii,grass,Data unavailable,Data unavailable
Asimina triloba,tree,deciduous,broad
Betula lenta,tree,deciduous,broad
Calla palustris,herbaceous,Data unavailable,broad
Calliandra conferta,Data unavailable,Data unavailable,Data unavailable
Calochortus greenei,Data unavailable,Data unavailable,Data unavailable
Calochortus tolmiei,Data unavailable,Data unavailable,Data unavailable
Carex illota,Data unavailable,Data unavailable,Data unavailable
Celtis laevigata,tree,Data unavailable,Data unavailable
Cocos nucifera,tree,Data unavailable,broad
Conyza floribunda,Data unavailable,Data unavailable,broad
Cornus drummondii,tree,deciduous,Data unavailable
Distichlis spicata,grass,Data unavailable,Data unavailable
Gleditsia triacanthos,tree,deciduous,Data unavailable
Gordonia lasianthus,tree,evergreen,broad
Juncus nevadensis,Data unavailable,Data unavailable,Data unavailable
Juniperus virginiana,tree,evergreen,needle
Koeleria macrantha,grass,Data unavailable,Data unavailable
Labordia kaalae,Data unavailable,Data unavailable,Data unavailable
Lagenaria siceraria,vine,Data unavailable,broad
Linum striatum,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Macromeria viridiflora,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Madia madioides,Data unavailable,Data unavailable,Data unavailable
Magnolia acuminata,tree,deciduous,broad
Medicago sativa,grass,Data unavailable,broad
Melia azedarach,tree,deciduous,Data unavailable
Monarda russeliana,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
NA NA,"Error in extraction, check","Error in extraction, check","Error in extraction, check"
Nymphoides aquatica,Data unavailable,Data unavailable,Data unavailable
Oxydendrum arboreum,tree,deciduous,broad
Palafoxia rosea,Data unavailable,Data unavailable,Data unavailable
